Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Radial_D8.0mm_P5.00mm,2,470u,
"C10, C11",CP_Radial_D5.0mm_P2.00mm,2,10u,
"C100, C101, C102, C103, C104, C105, C107, C108, C109, C111, C112, C113, C122, C22, C52, C54",0402,16,0.1u,
"C114, C14, C18, C20, C21, C24, C28, C30, C32, C42, C43, C46, C47, C5, C50, C56, C7, C9, C98",CP_Elec_4x5.3,19,10u,
"C115, C116, C123",0603,3,2.2u,
"C117, C120, C59, C61, C63, C66, C67, C70",0603,8,10u,
"C118, C119, C12, C13, C2, C27, C29, C31, C33, C4, C44, C45, C48, C49, C51, C53, C55, C57, C6, C60, C62, C64, C65, C68, C69, C8, C95, C97, C99",0603,29,0.1u,
"C121, C15, C92",1206,3,1u,
"C16, C19",0402,2,0.01u,
"C17, C23, C25, C26, C58, C76, C77, C88, C89",1206,9,10u,
"C34, C36, C38, C40",0805,4,4.02n,
"C35, C37, C39, C41",0805,4,1n,
"C71, C75",0603,2,1u,
"C72, C78, C79",0805,3,10u,
C73,0603,1,47n,
C74,0603,1,68n,
C80,0402,1,2.2n,
C81,0805,1,470n,
"C82, C83, C84, C85, C86",0805,5,22u,
C87,0805,1,1u,
"C90, C93",1206,2,47u,
C91,0402,1,10n,
"C94, C96",CP_Elec_5x5.3,2,10u,
"D1, D2",D_PowerDI-123,2,DFLS240,
FB1,0603,1,600R,
"FB2, FB3",0603,2,120R,
FB4,0603,1,8R,
IC1,LQFP-48_7x7mm_P0.5mm,1,AK4493SEQ,
"IC10, IC7, IC8, IC9",WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm_ThermalVias,4,OPA1612AIDRGR,
IC2,TAA5242IRGER,1,TAA5242IRGER,
IC3,TSSOP-8_4.4x3mm_P0.65mm,1,LMK1C1104PWR,
IC4,SOIC127P1040X275-21N,1,TPA6120A2DWPR,
IC5,QFN65P500X500X100-21N-D,1,TPS7A4701RGWT,
IC6,QFN65P500X500X100-21N-D,1,TPS7A3301RGWR,
J1,SWITCHCRAFT_SN37A12B,1,SN37A12B,
J2,PJ037A,1,PJ-037A,
J3,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,1,Power In,
J5,JST_PH_S16B-PH-K_1x16_P2.00mm_Horizontal,1,Conn_01x16_Socket,
J6,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J7,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"L1, L2",L_Wuerth_MAPI-4030,2,6.8u,
L3,L_Wuerth_MAPI-4030,1,2.2u,
"R1, R2",0402,2,10,
"R10, R3, R4, R5, R6, R7, R8, R9",0603,8,2k,
"R11, R13, R14, R16, R17, R19, R20, R22",1206,8,1.1k,
"R12, R15, R18, R21",1206,4,619,
"R23, R24, R25, R26, R27, R28, R29, R30",0805,8,1k,
"R31, R32",1206,2,39.2,
"R33, R34",1206,2,10,
R35,0603,1,12k,
R36,0603,1,15k,
R37,0603,1,2.15M,
R38,0603,1,113k,
R39,0603,1,2.1M,
R40,0603,1,100k,
R41,0603,1,7.5k,
R42,0603,1,27k,
"R43, R58, R59",0603,3,4.7k,
R44,0805,1,1.24M,
R45,0805,1,105k,
"R46, R48, R49, R50, R51, R52, R53, R54",0402,8,22,
R47,0603,1,10k,
"R55, R56",0603,2,5.1k,
R57,0603,1,47,
"TP10, TP20, TP21, TP22, TP23, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,11,TestPoint,
"U1, U5",DUALRCA,2,RCJ-2223,
U10,SOP65P640X120-21N,1,ADP5070AREZ,
U11,Texas_RPU0010A_VQFN-HR-10_2x2mm_P0.5mm,1,TPS62912,
U2,LQFP-144_20x20mm_P0.5mm,1,STM32H723ZGTx,
"U3, U8, U9",Texas_X2SON-4_1x1mm_P0.65mm,3,TPS7A2033PDQNR,
U7,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A2050PDQNR,
Y3,ASDLJE49152MHZLRT,1,ASDLJ-E-49.152MHZ-L-R-T,
Y4,ASDLJE451584MHzLRT,1,ASDLJ-E-45.1584MHz-L-R-T,
