Designator,Mid X,Mid Y,Rotation,Layer
C1,250.24999895296637,-150.02003995296636,315.0,top
C10,245.30710678118655,-155.90710678118654,315.0,top
C100,219.410589,-172.589411,45.0,top
C101,211.8,-149.5,0.0,top
C102,196.4,-166.8,90.0,top
C103,200.5,-174.0,180.0,top
C104,221.48,-164.75,0.0,top
C105,206.02,-149.5,180.0,top
C107,207.25,-174.0,180.0,top
C108,219.5,-151.0,135.0,top
C109,221.5,-159.5,0.0,top
C11,247.45562978118656,-170.60000021881345,45.0,top
C111,212.5,-174.5,270.0,top
C112,200.52,-149.5,0.0,top
C113,196.5,-169.75,270.0,top
C114,199.4,-179.8,180.0,top
C115,218.25,-174.5,0.0,top
C116,221.5,-153.75,90.0,top
C117,186.75,-181.775001,90.0,top
C118,188.5,-181.775001,90.0,top
C119,192.25,-181.0,90.0,top
C12,237.849302,-155.474999,90.0,top
C120,194.0,-181.0,90.0,top
C121,192.75,-173.0,270.0,top
C122,195.4,-168.75,90.0,top
C123,194.0,-168.424999,270.0,top
C13,220.520003,-135.75,90.0,top
C14,228.199301,-148.2498,180.0,top
C15,218.520004,-134.999999,90.0,top
C16,223.0,-143.370002,90.0,top
C17,214.540005,-133.249999,90.0,top
C18,228.6,-159.0,0.0,top
C19,229.0,-143.35,90.0,top
C2,240.5,-155.3,0.0,top
C20,240.200699,-118.3,270.0,top
C21,233.5,-123.4,270.0,top
C22,238.349301,-125.599796,270.0,top
C23,250.225,-131.2,180.0,top
C24,310.249999,-146.212499,180.0,top
C25,250.2,-128.7,0.0,top
C26,250.2,-123.900204,0.0,top
C27,304.725,-148.6,0.0,top
C28,295.499999,-146.1625,270.0,top
C29,299.249999,-145.962499,90.0,top
C3,241.197349,-175.1,0.0,top
C30,309.0,-134.825,180.0,top
C31,304.3,-137.4,0.0,top
C32,295.5,-134.325,270.0,top
C33,299.0,-134.549999,90.0,top
C34,268.650001,-156.75,0.0,top
C35,272.100002,-152.25,0.0,top
C36,269.325003,-165.787495,0.0,top
C37,272.575004,-170.537495,0.0,top
C38,269.95,-141.499999,0.0,top
C39,273.2,-146.0,0.0,top
C4,239.2993,-168.599798,0.0,top
C40,269.075004,-181.787497,0.0,top
C41,272.125004,-177.037496,0.0,top
C42,280.825005,-176.787496,180.0,top
C43,280.575004,-171.537497,0.0,top
C44,275.075004,-174.062498,90.0,top
C45,269.825003,-174.062499,90.0,top
C46,281.150002,-152.0,180.0,top
C47,281.100004,-146.500001,0.0,top
C48,274.900002,-149.275002,90.0,top
C49,269.900002,-149.275002,90.0,top
C5,243.75,-135.5,180.0,top
C50,315.4,-166.4,180.0,top
C51,305.479998,-163.5,180.0,top
C52,196.5,-160.5,90.0,top
C53,305.729998,-177.0,180.0,top
C54,196.5,-155.0,90.0,top
C55,309.2,-175.7,90.0,top
C56,315.5,-171.4,0.0,top
C57,309.229998,-164.7,270.0,top
C58,250.225,-126.2,0.0,top
C59,248.5899,-192.300102,90.0,top
C6,243.6,-131.8,0.0,top
C60,250.5899,-192.275101,90.0,top
C61,256.0399,-192.275101,90.0,top
C62,254.2999,-192.275101,90.0,top
C63,237.020002,-192.174793,90.0,top
C64,239.02,-192.174795,90.0,top
C65,242.72,-192.124999,90.0,top
C66,244.47,-192.124999,90.0,top
C67,225.95,-192.5,90.0,top
C68,227.7,-192.5,90.0,top
C69,231.5,-192.025001,90.0,top
C7,228.6,-153.8,0.0,top
C70,233.25,-192.025001,90.0,top
C71,159.25,-129.275001,90.0,top
C72,163.500001,-126.074998,270.0,top
C73,152.750001,-122.274999,180.0,top
C74,152.750001,-123.925,180.0,top
C75,157.500002,-129.25,270.0,top
C76,172.0,-126.275,270.0,top
C77,172.000001,-120.050002,90.0,top
C78,163.2868,-180.774799,180.0,top
C79,163.2868,-183.024799,180.0,top
C8,233.951292,-156.297808,45.0,top
C80,163.2568,-184.774799,180.0,top
C81,158.9,-183.274999,0.0,top
C82,170.2368,-187.024797,270.0,top
C83,167.9868,-187.0248,270.0,top
C84,165.7368,-187.024799,270.0,top
C85,177.35,-185.249999,270.0,top
C86,179.6,-185.25,270.0,top
C87,290.750052,-115.794541,180.0,top
C88,285.750052,-117.244541,270.0,top
C89,273.650052,-114.144541,90.0,top
C9,240.5,-149.25,180.0,top
C90,285.700052,-122.244541,90.0,top
C91,274.995052,-124.194541,0.0,top
C92,276.300052,-114.194541,270.0,top
C93,271.750052,-120.844541,90.0,top
C94,256.05,-159.25,180.0,top
C95,246.0493,-160.624799,270.0,top
C96,256.05,-165.25,180.0,top
C97,246.0493,-163.874799,270.0,top
C98,245.3,-118.3,270.0,top
C99,242.6,-123.349796,0.0,top
